frame,track_id,class_id,class_name,is_vehicle,conf,x1,y1,x2,y2,cx,cy,w,h
425,10,3,Car,True,0.529,1401.7,414.7,1631.3,560.7,1516.5,487.7,229.6,146.0
426,10,3,Car,True,0.355,1417.7,411.3,1652.2,560.3,1535.0,485.8,234.5,149.0
427,10,3,Car,True,0.554,1435.0,409.9,1670.9,559.6,1553.0,484.7,235.9,149.7
428,10,3,Car,True,0.425,1449.6,410.2,1685.2,559.3,1567.4,484.7,235.6,149.1
429,10,3,Car,True,0.318,1465.6,408.7,1703.1,558.8,1584.3,483.7,237.5,150.1
430,10,3,Car,True,0.394,1485.0,408.6,1725.2,560.0,1605.1,484.3,240.2,151.4
431,10,3,Car,True,0.468,1501.4,407.5,1749.1,563.3,1625.2,485.4,247.7,155.8
432,10,3,Car,True,0.564,1518.7,406.4,1771.0,565.0,1644.9,485.7,252.3,158.6
433,10,3,Car,True,0.642,1535.1,408.0,1785.7,564.7,1660.4,486.4,250.5,156.7
434,10,3,Car,True,0.576,1549.5,407.6,1805.1,567.1,1677.3,487.4,255.6,159.5
435,10,3,Car,True,0.533,1572.6,405.9,1834.2,569.0,1703.4,487.4,261.6,163.1
436,10,3,Car,True,0.392,1590.2,404.8,1854.0,568.3,1722.1,486.6,263.8,163.5
437,10,3,Car,True,0.418,1609.9,403.0,1878.2,568.4,1744.1,485.7,268.3,165.5
440,10,3,Car,True,0.32,1658.9,398.9,1920.0,565.8,1789.5,482.3,261.1,166.9
442,11,3,Car,True,0.371,715.7,482.0,840.7,597.3,778.2,539.7,125.0,115.3
443,11,3,Car,True,0.28,715.3,481.8,840.0,596.9,777.7,539.4,124.7,115.1
445,11,3,Car,True,0.261,715.3,481.2,839.8,596.1,777.5,538.6,124.5,114.9
447,11,3,Car,True,0.345,716.3,481.9,838.8,595.0,777.6,538.5,122.5,113.1
448,11,3,Car,True,0.265,716.0,481.8,838.9,595.3,777.4,538.6,122.8,113.5
463,14,0,Auto-Rickshaw,True,0.368,900.2,446.6,1184.7,692.3,1042.4,569.5,284.4,245.7
464,14,0,Auto-Rickshaw,True,0.26,897.7,443.9,1184.8,692.1,1041.2,568.0,287.2,248.2
480,14,3,Car,True,0.588,888.7,454.2,1145.6,678.0,1017.2,566.1,256.9,223.8
481,14,3,Car,True,0.545,889.2,454.0,1143.5,676.5,1016.3,565.3,254.3,222.5
482,14,3,Car,True,0.439,889.9,456.0,1140.5,676.2,1015.2,566.1,250.6,220.1
483,14,3,Car,True,0.302,889.3,457.7,1137.2,676.3,1013.3,567.0,247.9,218.7
